DCG,WD,SzP,Skrz,Sex
87.5,9,89,315,1
86.8,8.7,95,319,1
83.8,8.4,90,309,1
78.2,7.4,86,290,0
77.9,8.1,83,299,0
80.7,7.8,84,297,0
83.8,8.2,90,322,1
79.1,8.1,83,305,0
78.8,7.5,80,301,0
78.7,7.6,85,297,0
86,8.7,92,314,1
84.1,8.1,89,314,1
81.7,7.8,89,300,0
85.2,8.8,88,315,1
84.4,9.1,87,316,1
80.7,7.7,89,297,0
83.5,8.4,89,319,1
79.5,7.7,88,299,0
80.3,7.8,88,310,0
76.8,7.6,82,298,0
81.7,7.6,87,312,0
76.8,7.9,81,306,0
84.3,8.5,91,310,1
81.6,7.8,85,300,0
82.4,8,90,320,0
78.6,7,84,308,0
81.8,8.2,83,323,1
85.5,8.8,90,307,1
84.3,8.5,88,321,1
83.5,7.5,87,304,1
79.2,7.7,82,311,0
85.7,8.7,87,316,1
85.7,8.6,92,314,1
86,8.6,88,313,1
85,8.8,87,317,1
89.1,8.8,90,325,1
87.2,8.5,92,313,1
85.3,8.5,89,327,1
87.2,8.3,93,312,1
83.2,7.9,92,322,1
82.1,7.5,83,299,1
85.2,8.8,86,320,1
83.7,8.2,86,310,1
86.3,8.1,86,308,1
76.8,7.8,86,302,0
77,7.9,79,298,0
82.6,8.6,84,319,1
86.9,7.7,82,307,0
84.4,9.8,92,315,1
80.1,9.1,83,300,1
87.4,8.6,91,311,1
81.6,8,86,301,0
80.5,8.7,90,320,1
81.7,7.7,87,302,0
87.5,9.1,92,313,1
84.2,9.2,90,320,1
77.6,7.7,84,296,0
78.4,7.4,87,305,0
84.6,8.4,87,304,1
86.7,8.4,91,328,1
75.6,7.4,84,293,0
80.6,8.3,84,309,0
88,9.2,91,337,1
77.8,7.5,84,305,0
76.6,7.2,84,302,0
79.6,7.6,84,307,0
79,7.8,78,311,0
83.5,8.3,90,305,1
84.6,8.6,89,315,1
79.6,7.5,85,300,0
85.3,8.6,90,324,1
79,8,85,306,0
86.7,8.7,90,316,1
83.5,8.3,90,327,1
80.5,7.6,86,315,0
84.3,8.5,88,320,1
79.5,7.2,84,320,0
78.9,7.5,84,300,0
86.7,8.4,88,325,1
84.1,8.5,89,313,1
82.6,8.4,81,313,1
87,8.8,96,325,1
82.3,8.3,84,310,1
79.5,7.8,85,295,0
85.7,8.6,92,321,1
87,9.1,87,316,1
85.7,8.5,91,330,1
86.3,8.6,90,308,1
88.1,9.2,90,314,1
85.3,8.6,87,311,1
86.8,9,91,325,1
85.1,8.8,90,312,1
